generation,mean_fitness,max_fitness,min_fitness,std_fitness,in_stable_region,stable_fraction,best_kappa,best_phi,best_epsilon_star,best_mu,best_gamma,best_theta
0,-8.284193335319339,1.2390113222631012,-27.578124056627367,8.662819317114177,0,0.0,0.6016796074304243,0.9772139218780566,0.44237430203551825,478.36883642346214,1.7787339789687855,1.1004776400836604
1,0.1610912569826515,1.3869657666429074,-4.8958329335880055,1.1185172372997425,0,0.0,0.14232610429791873,0.8584905072285608,0.30467013722513253,480.5060772388203,3.3839087903149174,0.7717584394376
2,0.8817050144438645,1.6531551451472597,-5.286400355155038,0.9861189119557954,3,0.03,0.8391727247235545,0.99,0.017553431377504234,323.99518522456253,1.5725811104686305,0.7754167493502278
3,1.2753981341309806,1.832474369728871,-4.371929528203221,0.6667021370510658,0,0.0,0.38363577132363774,0.99,0.3905641988958522,31.644046042167595,2.775992307832161,0.3653868363645951
4,1.380727870069484,1.9227395348711465,-5.493934334931298,1.015674474459128,0,0.0,0.4828817276421866,0.99,0.2131770414541565,2.0,3.5875392184801416,0.3653868363645951
5,1.557607896591993,1.9257895973594672,-4.715641203104431,0.9524485961102823,0,0.0,0.37040947719720696,0.99,0.2131770414541565,2.0,3.5875392184801416,0.3653868363645951
6,1.536696070108721,1.9268143290114297,-3.6931240080181817,0.8526472723455086,0,0.0,0.37040947719720696,0.99,0.2131770414541565,2.0,4.00646043043209,0.3653868363645951
7,1.6203262455565457,1.9334498779173135,-2.0472577769376157,0.7664446208303506,0,0.0,0.14454310300811818,0.99,0.16330092197808005,64.12385979231428,2.775992307832161,0.3653868363645951
8,1.6598884468872805,1.9334498779173135,-2.6698336117674355,0.764898629912935,0,0.0,0.14454310300811818,0.99,0.16330092197808005,64.12385979231428,2.775992307832161,0.3653868363645951
9,1.6586118288268585,1.936291565662565,-2.7544380846324246,0.7653791896073472,0,0.0,0.12009633200352132,0.99,0.17833923622843953,2.0,4.830873312624964,0.3653868363645951
10,1.6429992869313614,1.9368120626240795,-1.603490911468788,0.6819108224203945,0,0.0,0.06521877641714623,0.99,0.16330092197808005,87.35847797530973,3.820182577935081,0.3653868363645951
11,1.690569314925443,1.9377131461323784,-4.8680394285140265,0.8565122592070668,0,0.0,0.05,0.99,0.17833923622843953,2.0,4.830873312624964,0.3653868363645951
12,1.636180524620464,1.9377131461323784,-6.009412346191251,1.019332893182229,0,0.0,0.05,0.99,0.17833923622843953,2.0,4.830873312624964,0.3653868363645951
13,1.6593619633034444,1.9387520656777,-3.324247590873588,0.751406149452626,0,0.0,0.05,0.99,0.17587279782786444,36.60583677287579,3.820182577935081,0.3366784658545991
14,1.4907122191586708,1.9387520656777,-6.339485542258019,1.305836590448595,0,0.0,0.05,0.99,0.17587279782786444,36.60583677287579,3.820182577935081,0.3366784658545991
15,1.6894301217401733,1.9387520656777,-6.18735814582167,0.9734905799169561,0,0.0,0.05,0.99,0.17587279782786444,36.60583677287579,3.820182577935081,0.3366784658545991
16,1.646514058410324,1.9387795097615808,-2.206378017176594,0.7206960012798584,0,0.0,0.05,0.99,0.17587279782786444,34.16924335898395,3.906388700242938,0.3366784658545991
17,1.5897741726773758,1.9387795097615808,-2.12339707858236,0.7635699781922952,0,0.0,0.05,0.99,0.17587279782786444,34.16924335898395,3.906388700242938,0.3366784658545991
18,1.719244983691034,1.9390199556542578,-2.474035729107563,0.6733466193763572,0,0.0,0.05,0.99,0.17587279782786444,36.60583677287579,4.862479574649201,0.3366784658545991
19,1.7098590544892192,1.9390471243195175,-6.251449136488622,0.8884909942743913,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
20,1.7666289662328807,1.9390471243195175,-2.5278734119560857,0.5691552309815472,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
21,1.6849073406860255,1.9390471243195175,-1.8368734070036608,0.6297798220417477,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
22,1.7985053558204434,1.9390471243195175,-1.4278045530949788,0.4777498307533885,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
23,1.6710792858877124,1.9390471243195175,-2.0640401280146845,0.6924793031270311,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
24,1.8246020573967805,1.9390471243195175,0.168898459974955,0.2708495761482208,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
25,1.6101148594327166,1.9390471243195175,-3.4948080004665147,0.8289391000660277,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
26,1.6596730542448423,1.9390471243195175,-2.3076766179063575,0.6947324736778365,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
27,1.6657945266785732,1.9390471243195175,-4.1079150170721075,0.8139971992302774,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
28,1.549524740531572,1.9390471243195175,-5.638581687810377,0.9909786613099846,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
29,1.7032591021408208,1.9390471243195175,-2.8715207313548263,0.6720784130697921,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
30,1.772077996849915,1.9390471243195175,-5.439158552275103,0.7563809912241756,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
