kappa,phi,epsilon_star,mu,gamma,theta,J_total,info_term,foam_gain,foam_cost,boundary_term,governor_term,in_stable_region,region
0.3870861069626262,0.9461357327048254,0.3686770314875885,300.1319251301242,0.864491338167939,1.6021454773452162,0.5587818703529701,1.4373581298062101,1.2657588543420173,2.027929823893725,0.04013370484984346,0.07627158505168871,False,transition_zone
0.10227525095137951,0.8708967697396923,0.3045463557541723,354.6201437424306,0.200864022049432,9.700603029011843,-25.913930970399438,1.2535938254854044,3.1145791094483126,30.213295543211306,0.03399384554347801,0.03481451657837316,False,boundary_collapse
0.7991983767203795,0.2889818085036658,0.0990942339314793,93.33544590701004,1.590786990501735,5.271326494740766,-9.557995580154873,0.30874196383737,2.2959369535640053,12.102633293576341,0.04726783333500929,0.012773370644897978,False,boundary_collapse
0.43875051677790416,0.3591939347762573,0.30980791841396593,71.46794260471684,1.5315087778225691,3.695300340772232,-4.850799770811376,0.39490894352561157,1.9223163997563544,7.103536447091706,0.02689231726742321,0.03759634973421299,False,boundary_collapse
0.4604629857953323,0.7988066056397821,0.10784015325759626,258.08875032997855,3.0028313874240085,0.5121816065639774,1.4210835374774826,1.0970781903436608,0.715668642993374,0.36655231533580784,0.01484009049481776,0.010270890028926317,False,transition_zone
0.5967903667112945,0.2517664700816895,0.041875280562786964,474.54499755215994,4.8315969620653405,8.093553613758788,-19.964293472699726,0.2650746298534491,2.84491715411166,23.025489513504795,0.012101361309569795,0.03669438185047337,False,boundary_collapse
0.3241523922560336,0.18692818146568163,0.34527418299095686,221.19594188232145,0.6979873507394163,4.977010255607138,-8.78023841912369,0.19201667403514497,2.2309213916243524,11.103318645567752,0.04062124442895912,0.05923659478647572,False,boundary_collapse
0.08094966900369656,0.909295157850116,0.1368021909840083,331.93609760828303,1.6273842728381138,5.224676810719217,-8.32097821164935,1.3444531573325955,2.285755194835881,11.942332161440014,0.004686257150569933,0.004168145227244353,False,boundary_collapse
0.5420392514089517,0.26452046541771906,0.4850964676046337,388.01614603383507,4.703544813664527,8.953532136755106,-23.723881823987668,0.2798913877280727,2.99224533365082,26.79116475589812,0.011284151026696491,0.1935696384417433,False,boundary_collapse
0.5881099809299766,0.920468069170574,0.05336132600544055,99.59946548473431,0.32161371566163655,3.2870367910944798,-2.9447701904515178,1.3720024429726458,1.8130186957377135,5.9594591558319925,0.13949023930757523,0.030841934022309427,False,boundary_collapse
0.39980956072053375,0.34150063827876737,0.4160813794844454,179.66315669340747,1.4765790974681658,5.449826027424572,-10.158202173479935,0.37270525134709703,2.334486244856579,12.722543897884037,0.025359308731327808,0.11749046306824636,False,boundary_collapse
0.17683180247728636,0.8139553128710952,0.046529815403087704,493.4696944270576,3.8839993695536217,2.0272210312650154,-0.3726722517547748,1.128588042712182,1.4238051240478857,2.8863676918927683,0.004438549961344474,0.034259176660729446,False,boundary_collapse
0.054969905411242165,0.8257606713248024,0.3563600984853324,365.0455696844117,3.8792246987611345,0.7867442847541991,1.2743702678689734,1.1536298126808726,0.8869860679594687,0.6978312196237116,0.0013814225024376264,0.06703297064521893,False,transition_zone
0.3726191556898453,0.20312346297736544,0.4329206786790408,312.4024671601238,1.7214003217779812,0.6824055853459352,0.3175252648699851,0.20992135951541313,0.8260784377684333,0.5637205398670234,0.020457839566323827,0.13429615298051403,False,transition_zone
0.3298840895440959,0.38941315660380493,0.3675070273856514,319.5036207348961,4.447342438624,4.748538505361395,-7.817475379403285,0.4336402904784784,2.17911415611055,10.347607477869051,0.007254436937542734,0.07536791118571987,False,boundary_collapse
0.15763482134447154,0.7347878606284656,0.38278467382227976,281.51604438960914,3.877739181777349,4.963266183825687,-7.950049624425339,0.9710308346494473,2.2278389043702616,11.057357497072188,0.003962925021997961,0.08759894135086238,False,boundary_collapse
0.5204595464437947,0.4805115063391092,0.022455372104606644,55.729930642665614,0.25400300986499785,6.382283592074614,-13.235054876683243,0.5571170080403426,2.52631818900047,16.123679126017354,0.14702122070721277,0.04778972699948805,False,boundary_collapse
0.332920382968694,0.5526279151365855,0.4547075722237856,126.14753011613972,2.110876322874586,7.567733828503334,-17.577338355324763,0.6629594332620418,2.7509514405934783,20.818468277549247,0.015058299712388716,0.15772265191864848,False,boundary_collapse
0.2559183489424602,0.16851211974762575,0.15197821192774633,82.2882010524942,4.655518496478608,8.09079777666595,-20.005065857330866,0.17192320410140616,2.8444327688778213,23.013730322312448,0.005381502545557629,0.002310005452087524,False,boundary_collapse
0.6200633808593811,0.8755999252670688,0.4037993176805661,94.91188932524585,4.473539092600891,5.416455307060724,-9.133625797616403,1.2644198854851412,2.327327932857921,12.605867733198952,0.013557627218329121,0.10594825554218519,False,boundary_collapse
0.7766961396476563,0.897521256931909,0.1658217027362133,56.805858414783025,1.2168822964555144,4.29972249683125,-5.586647557675828,1.315980255054177,2.0735772222975566,8.915806631629657,0.05897992111657899,0.0014184822813248696,True,boundary_collapse
0.7862132893302438,0.8660502190981456,0.013406543960283445,256.35215668362775,2.1453139154290173,2.2599727141837658,-0.7401114845938008,1.242522035417518,1.5033205626824127,3.3974634523336382,0.03501574029037362,0.05347489006971961,False,boundary_collapse
0.15787883060031452,0.40047750254922887,0.4720257549171344,162.9550601463361,2.6420740465424943,7.045038641007019,-15.780409641910532,0.44808537704931006,2.6542491670917068,18.69928794502177,0.00575764286159177,0.17769859816818714,False,boundary_collapse
